ChIP-Seq dataset	diPWM	SIM-TY HT-SELEX	SIM-TY HOCOMOCO	monoPWM	SIM-TY HT-SELEX	SIM-TY HOCOMOCO	TF	BEST SIM-TY	SIM-TY CHECK	CONSISTENCY CHECK	MOTIF CHECK	CHANCE TO SAVE
PEAKS030350	dichipmunk_pcm/ALX4_HUMAN^PEAKS030350.pcm	0.004499607	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ALX4_HUMAN^PEAKS030350.pcm	0.005211121	NA	ALX4_HUMAN	0.005211121	FAIL	IMPOSSIBLE	FAIL	+
PEAKS010091	dichipmunk_pcm/ANDR_HUMAN^PEAKS010091.pcm	0.006829697	0.006313499	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010091.pcm	0.006286038	0.005883896	ANDR_HUMAN	0.006829697	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010120	dichipmunk_pcm/ANDR_HUMAN^PEAKS010120.pcm	0.003351224	0.002806682	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010120.pcm	0.002770706	0.002326537	ANDR_HUMAN	0.003351224	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010121	dichipmunk_pcm/ANDR_HUMAN^PEAKS010121.pcm	0.001663097	0.001327598	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010121.pcm	0.002972603	0.002870481	ANDR_HUMAN	0.002972603	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010122	dichipmunk_pcm/ANDR_HUMAN^PEAKS010122.pcm	7.58E-04	0.001518323	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010122.pcm	0.006005247	0.006382892	ANDR_HUMAN	0.006382892	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010123	dichipmunk_pcm/ANDR_HUMAN^PEAKS010123.pcm	0.177285013	0.151240109	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010123.pcm	0.230151594	0.222572004	ANDR_HUMAN	0.230151594	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010124	dichipmunk_pcm/ANDR_HUMAN^PEAKS010124.pcm	0.002661501	0.0020859	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010124.pcm	0.002317181	0.001582831	ANDR_HUMAN	0.002661501	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010224	dichipmunk_pcm/ANDR_HUMAN^PEAKS010224.pcm	0.003325582	0.002337522	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010224.pcm	9.89E-04	0.002212808	ANDR_HUMAN	0.003325582	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010383	dichipmunk_pcm/ANDR_HUMAN^PEAKS010383.pcm	0.23721033	0.195942609	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010383.pcm	0.242597216	0.214039495	ANDR_HUMAN	0.242597216	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010529	dichipmunk_pcm/ANDR_HUMAN^PEAKS010529.pcm	0.00235613	0.002115005	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010529.pcm	0.003306476	0.002976502	ANDR_HUMAN	0.003306476	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
